     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   2.47000 ,    0.24345 ,    0.60159 ,    0.64898 ,    0.30696 ,   -0.31297 ,    0.43837
   2.48000 ,    0.14794 ,    0.61669 ,    0.63418 ,    0.32976 ,   -0.29601 ,    0.44313
   2.49000 ,    0.05523 ,    0.60948 ,    0.61198 ,    0.35272 ,   -0.27826 ,    0.44926
   2.50000 ,   -0.02878 ,    0.58181 ,    0.58253 ,    0.37625 ,   -0.25930 ,    0.45694
   2.51000 ,   -0.09887 ,    0.53712 ,    0.54614 ,    0.40063 ,   -0.23851 ,    0.46625
   2.52000 ,   -0.15097 ,    0.48017 ,    0.50334 ,    0.42593 ,   -0.21509 ,    0.47715
   2.53000 ,   -0.18241 ,    0.41677 ,    0.45494 ,    0.45193 ,   -0.18816 ,    0.48954
   2.54000 ,   -0.19225 ,    0.35334 ,    0.40226 ,    0.47813 ,   -0.15683 ,    0.50320
   2.55000 ,   -0.18142 ,    0.29642 ,    0.34753 ,    0.50369 ,   -0.12026 ,    0.51784
   2.56000 ,   -0.15267 ,    0.25217 ,    0.29478 ,    0.52744 ,   -0.07778 ,    0.53314
   2.57000 ,   -0.11048 ,    0.22586 ,    0.25144 ,    0.54795 ,   -0.02902 ,    0.54872
   2.58000 ,   -0.06079 ,    0.22144 ,    0.22963 ,    0.56359 ,    0.02608 ,    0.56419
   2.59000 ,   -0.01063 ,    0.24109 ,    0.24133 ,    0.57256 ,    0.08714 ,    0.57915
   2.60000 ,    0.03239 ,    0.28502 ,    0.28686 ,    0.57308 ,    0.15330 ,    0.59323
   2.61000 ,    0.06061 ,    0.35126 ,    0.35645 ,    0.56346 ,    0.22321 ,    0.60606
   2.62000 ,    0.06691 ,    0.43567 ,    0.44078 ,    0.54224 ,    0.29505 ,    0.61732
   2.63000 ,    0.04527 ,    0.53215 ,    0.53407 ,    0.50834 ,    0.36656 ,    0.62671
   2.64000 ,   -0.00866 ,    0.63284 ,    0.63289 ,    0.46113 ,    0.43510 ,    0.63400
   2.65000 ,   -0.09715 ,    0.72865 ,    0.73510 ,    0.40062 ,    0.49780 ,    0.63898
   2.66000 ,   -0.22001 ,    0.80979 ,    0.83914 ,    0.32742 ,    0.55167 ,    0.64152
