 Q (1/Ang),S-S  ,S-F  ,F-F  
   5.57000 ,     0.610464101598016E+00 ,     0.541681968219506E+00 ,    -0.165286680711257E+00 , 
   5.59000 ,     0.554980542076435E+00 ,     0.517167755589426E+00 ,    -0.156878354760351E+00 , 
   5.61000 ,     0.488920868238534E+00 ,     0.492452978426701E+00 ,    -0.148024932071011E+00 , 
   5.63000 ,     0.413605623064763E+00 ,     0.467776327836852E+00 ,    -0.138669876191330E+00 , 
   5.65000 ,     0.330553318939405E+00 ,     0.443337704277739E+00 ,    -0.128765482489287E+00 , 
   5.67000 ,     0.241449836936130E+00 ,     0.419297136996923E+00 ,    -0.118274832447724E+00 , 
   5.69000 ,     0.148106563988550E+00 ,     0.395772210598745E+00 ,    -0.107172385712500E+00 , 
   5.71000 ,     0.524173718898861E-01 ,     0.372837556299553E+00 ,    -0.954444559509906E-01 , 
   5.73000 ,    -0.436859173631628E-01 ,     0.350525771478948E+00 ,    -0.830893678652357E-01 , 
   5.75000 ,    -0.138278449908801E+00 ,     0.328829681795766E+00 ,    -0.701173085553046E-01 , 
   5.77000 ,    -0.229486519529072E+00 ,     0.307705822773336E+00 ,    -0.565498946233203E-01 , 
   5.79000 ,    -0.315529922185507E+00 ,     0.287078985116716E+00 ,    -0.424194836181390E-01 , 
   5.81000 ,    -0.394761500930774E+00 ,     0.266847630894721E+00 ,    -0.277682570109548E-01 , 
   5.83000 ,    -0.465702717613046E+00 ,     0.246890037178730E+00 ,    -0.126471585262023E-01 , 
   5.85000 ,    -0.527075016644619E+00 ,     0.227070798016305E+00 ,     0.288538008824242E-02 , 
   5.87000 ,    -0.577825494806335E+00 ,     0.207247661431718E+00 ,     0.187647347310229E-01 , 
   5.89000 ,    -0.617146938862550E+00 ,     0.187278323664668E+00 ,     0.349214705340080E-01 , 
   5.91000 ,    -0.644491598989908E+00 ,     0.167027022185191E+00 ,     0.512827221266824E-01 , 
   5.93000 ,    -0.659578517953599E+00 ,     0.146370710541477E+00 ,     0.677735384415664E-01 , 
   5.95000 ,    -0.662394361886086E+00 ,     0.125204626899837E+00 ,     0.843181543897814E-01 , 
