       Q,      F(Q)_RMC,  F(Q)_Expt
      9.6999998 ,      -0.2377599 ,      -0.1627016
      9.7199998 ,      -0.2358036 ,      -0.1614444
      9.7399998 ,      -0.2321219 ,      -0.1592477
      9.7599998 ,      -0.2269273 ,      -0.1562413
      9.7799998 ,      -0.2204535 ,      -0.1525637
      9.7999998 ,      -0.2129474 ,      -0.1483579
      9.8199998 ,      -0.2046612 ,      -0.1437663
      9.8399998 ,      -0.1958440 ,      -0.1389261
      9.8599998 ,      -0.1867340 ,      -0.1339649
      9.8799998 ,      -0.1775510 ,      -0.1289966
      9.8999998 ,      -0.1684892 ,      -0.1241173
      9.9199998 ,      -0.1597122 ,      -0.1194029
      9.9399998 ,      -0.1513471 ,      -0.1149060
      9.9599998 ,      -0.1434816 ,      -0.1106549
      9.9799998 ,      -0.1361615 ,      -0.1066521
      9.9999998 ,      -0.1293896 ,      -0.1028748
     10.0199998 ,      -0.1231264 ,      -0.0992754
     10.0399998 ,      -0.1172916 ,      -0.0957834
     10.0599998 ,      -0.1117679 ,      -0.0923075
     10.0799998 ,      -0.1064049 ,      -0.0887389
     10.0999998 ,      -0.1010250 ,      -0.0849552
     10.1199998 ,      -0.0954298 ,      -0.0808243
     10.1399998 ,      -0.0894076 ,      -0.0762093
     10.1599998 ,      -0.0827412 ,      -0.0709735
     10.1799998 ,      -0.0752158 ,      -0.0649853
     10.1999998 ,      -0.0666277 ,      -0.0581231
     10.2199998 ,      -0.0567924 ,      -0.0502805
     10.2399998 ,      -0.0455520 ,      -0.0413707
     10.2599998 ,      -0.0327826 ,      -0.0313306
     10.2799998 ,      -0.0184003 ,      -0.0201243
     10.2999998 ,      -0.0023669 ,      -0.0077461
     10.3199998 ,       0.0153069 ,       0.0057776
     10.3399998 ,       0.0345581 ,       0.0203868
     10.3599998 ,       0.0552706 ,       0.0359875
     10.3799998 ,       0.0772751 ,       0.0524525
     10.3999998 ,       0.1003514 ,       0.0696228
     10.4199998 ,       0.1242312 ,       0.0873098
     10.4399998 ,       0.1486027 ,       0.1052984
     10.4599998 ,       0.1731172 ,       0.1233512
     10.4799998 ,       0.1973955 ,       0.1412132
     10.4999998 ,       0.2210367 ,       0.1586167
     10.5199998 ,       0.2436268 ,       0.1752872
     10.5399998 ,       0.2647482 ,       0.1909493
     10.5599998 ,       0.2839899 ,       0.2053327
     10.5799998 ,       0.3009571 ,       0.2181786
